TYPE_REF,194445
TYPE_SHORT_ASCII_INTERNED,71768
TYPE_SMALL_TUPLE,42742
TYPE_STRING,32805
TYPE_SHORT_ASCII,30899
TYPE_CODE,15886
TYPE_NONE,12532
TYPE_INT,5748
TYPE_ASCII,1820
TYPE_UNICODE,1658
TYPE_FALSE,1552
TYPE_TRUE,1437
TYPE_BINARY_FLOAT,178
TYPE_FROZENSET,57
TYPE_LONG,50
TYPE_TUPLE,16
TYPE_ELLIPSIS,10
TYPE_BINARY_COMPLEX,1
